transaction_id,sender_id,receiver_id,amount,currency_code,timestamp,status
3f62d4f2-0120-4eb4-a5f3-1608e18a373b,46262ec5-3785-4148-b23a-721d2e78a9cc,2c3fdbdc-9e06-41f8-b3b4-9a3a87620f6c,8462.11,344,2025-07-04,pending
0e623c2f-5078-41f7-96f1-bbce768cb3b3,200c8181-f44d-4a86-b17a-ec741fe7e0b1,e11e33ce-f297-4468-bfca-7d4080ccca46,9863.31,608,2025-07-04,completed
098a3e6d-82f3-4969-bce8-0f3a0dc2003d,fd7f9fa8-bf89-454e-9bed-19910f6e0f93,1e1cf90d-efd8-4dc6-accd-be03ab27c5c3,8376.92,978,2025-07-04,completed
2d3ad13c-d392-4406-9318-14be1787b739,8b1ccf89-3c34-4704-a380-bda5a2e4a79f,473e10a1-5c6e-4cc8-ab75-d8dcef755e10,7366.53,608,2025-07-04,completed
143ecd18-41e6-4430-89f4-ecbc4cc892da,e11e33ce-f297-4468-bfca-7d4080ccca46,9ff00e7c-218e-44e3-92bd-7900500bd356,843.00,986,2025-07-04,completed
d336a253-2c05-4bc0-bb99-10c0cb8e7de6,200c8181-f44d-4a86-b17a-ec741fe7e0b1,015b5dbd-68d7-4a96-ab61-c68068fb124a,3412.95,978,2025-07-04,completed
9ca49f72-ade9-453f-9474-abf3465dd65e,535c41d5-ac8c-4dbd-b4cb-d2bfbdcc1a04,35af4654-e737-4ef5-81b4-e9cf497d1bf6,3408.59,840,2025-07-04,pending
3a39a612-56f7-4eaf-9675-3a51b134e4bd,c487ca3a-0334-40e4-8a00-61fa529142fc,fcef7e7c-b37b-45d2-8e63-7970bb57a7dd,1237.22,608,2025-07-04,pending
a0078132-7475-46b4-a566-43e0decb1b1f,44538ef3-9f9b-45f7-a2fe-4fe796d8ffe7,9c10a609-5690-4d70-96e0-4078042133d2,5765.13,840,2025-07-04,completed
3047765a-9669-4164-9331-709e1fe0d1f4,fd7f9fa8-bf89-454e-9bed-19910f6e0f93,200c8181-f44d-4a86-b17a-ec741fe7e0b1,8750.10,840,2025-07-04,pending
507feaa2-9bbc-487e-a8e0-afcc232d6687,8cc97ff5-5b2d-41e0-9fd7-db4fc09c0a4f,c6dba2ba-36cc-4b71-a0b2-ff8fdc168dc6,6608.86,344,2025-07-04,completed
7f9d79a6-fc9e-48b5-94d4-6e390fbb525a,b22f8d2b-cb1d-47f8-b85e-34718dc157d5,015b5dbd-68d7-4a96-ab61-c68068fb124a,3859.55,978,2025-07-04,completed
2a2633f5-b1d9-41e8-aa8e-f2ac3b8eda96,f36617fb-4d70-4896-9921-8061ee87db72,e11e33ce-f297-4468-bfca-7d4080ccca46,6567.60,978,2025-07-04,completed
cba76151-8f4c-48e7-ab22-449b1c3d0145,fcef7e7c-b37b-45d2-8e63-7970bb57a7dd,44538ef3-9f9b-45f7-a2fe-4fe796d8ffe7,3181.79,986,2025-07-04,completed
b0b020e0-12e6-4d9a-b4a2-514105254f49,44538ef3-9f9b-45f7-a2fe-4fe796d8ffe7,6d52e515-086d-4519-a62f-b02442efcf27,9244.54,344,2025-07-04,completed
6ecbee54-3d05-4f09-b5a9-a79885a106a1,fd7f9fa8-bf89-454e-9bed-19910f6e0f93,8b1ccf89-3c34-4704-a380-bda5a2e4a79f,7030.33,344,2025-07-04,completed
5812a0cc-54c0-4d2c-85b4-c016f183f7ee,607a3b07-cab4-4ee5-9e9b-c03d1e182391,c6dba2ba-36cc-4b71-a0b2-ff8fdc168dc6,8455.91,344,2025-07-04,completed
ff13c72b-b9d3-4c2b-a39b-dfbda72abc87,a9e7bfd9-1858-4020-98e5-698b8c67c6ed,c6dba2ba-36cc-4b71-a0b2-ff8fdc168dc6,8086.33,978,2025-07-04,pending
8de320d0-75ff-4bbc-85bf-97ba5cbc459b,46262ec5-3785-4148-b23a-721d2e78a9cc,2c3fdbdc-9e06-41f8-b3b4-9a3a87620f6c,1241.76,344,2025-07-04,completed
b49b891b-9a77-4def-9de8-5ab355ee5b70,f36617fb-4d70-4896-9921-8061ee87db72,1e1cf90d-efd8-4dc6-accd-be03ab27c5c3,3943.10,344,2025-07-04,pending
ce865236-1e7a-41d9-ab91-43c8e6784f53,c487ca3a-0334-40e4-8a00-61fa529142fc,535c41d5-ac8c-4dbd-b4cb-d2bfbdcc1a04,7631.82,986,2025-07-04,completed
2c6784ee-29e8-4ec2-a264-ee8a7ffe3c30,473e10a1-5c6e-4cc8-ab75-d8dcef755e10,6d52e515-086d-4519-a62f-b02442efcf27,3144.95,986,2025-07-04,completed
08a5858a-a673-42a4-892c-e3fbd5f3047c,e11e33ce-f297-4468-bfca-7d4080ccca46,9ff00e7c-218e-44e3-92bd-7900500bd356,3312.73,840,2025-07-04,pending
ac6b6b22-0f5b-4b38-9059-9e0431df1a6c,8b1ccf89-3c34-4704-a380-bda5a2e4a79f,86cda25c-ba84-49fc-a47f-c4fdf99d8935,8860.76,344,2025-07-04,completed
7ce2eb54-49b3-4ca0-b0ea-52d5663fdcf0,e11e33ce-f297-4468-bfca-7d4080ccca46,c6dba2ba-36cc-4b71-a0b2-ff8fdc168dc6,1380.97,986,2025-07-04,completed
54172742-6568-4fe1-8988-575a8f21c5f9,04cf1e2e-1419-4302-a690-e89302ae3d42,fd7f9fa8-bf89-454e-9bed-19910f6e0f93,3062.96,344,2025-07-04,completed
08bd1f4f-ab84-4380-8e61-856be9043830,c6dba2ba-36cc-4b71-a0b2-ff8fdc168dc6,a9e7bfd9-1858-4020-98e5-698b8c67c6ed,2671.37,978,2025-07-04,pending
137a25b5-2f63-4241-9d33-e0b3094b1a9e,9c10a609-5690-4d70-96e0-4078042133d2,6d52e515-086d-4519-a62f-b02442efcf27,2933.47,978,2025-07-04,completed
803bf0df-495c-4e94-b3fb-1dcda51f8b61,c487ca3a-0334-40e4-8a00-61fa529142fc,c6dba2ba-36cc-4b71-a0b2-ff8fdc168dc6,5429.68,608,2025-07-04,completed
62e4494f-7e5c-4209-b872-f40c780e8dae,04cf1e2e-1419-4302-a690-e89302ae3d42,8cc97ff5-5b2d-41e0-9fd7-db4fc09c0a4f,2295.44,840,2025-07-04,pending
aa90f9d4-1f60-49cb-9cfa-e4150c6cfaf7,04cf1e2e-1419-4302-a690-e89302ae3d42,9ff00e7c-218e-44e3-92bd-7900500bd356,6955.82,344,2025-07-04,completed
15452c99-042b-4368-9615-9f976aace92c,8cc97ff5-5b2d-41e0-9fd7-db4fc09c0a4f,c487ca3a-0334-40e4-8a00-61fa529142fc,884.98,344,2025-07-04,completed
627cc4a0-24bc-4e03-83ef-c155d881e3b4,c487ca3a-0334-40e4-8a00-61fa529142fc,f36617fb-4d70-4896-9921-8061ee87db72,2499.27,608,2025-07-04,completed
43e79f38-b8b7-421b-a49b-84f4bbb3be30,6d52e515-086d-4519-a62f-b02442efcf27,46262ec5-3785-4148-b23a-721d2e78a9cc,1153.67,608,2025-07-04,pending
d7be33c2-d228-47c3-aee1-54343e6df5c7,44538ef3-9f9b-45f7-a2fe-4fe796d8ffe7,9ff00e7c-218e-44e3-92bd-7900500bd356,3726.01,608,2025-07-04,pending
6218eb20-32af-4a0a-957b-8a8b94d9eefd,6d52e515-086d-4519-a62f-b02442efcf27,f36617fb-4d70-4896-9921-8061ee87db72,2142.73,978,2025-07-04,completed
afe4477e-db5d-45fd-9a34-635a2cd4981f,44538ef3-9f9b-45f7-a2fe-4fe796d8ffe7,1e1cf90d-efd8-4dc6-accd-be03ab27c5c3,5807.25,978,2025-07-04,completed
af788e79-7274-4513-bed0-9b493a5d2824,8cc97ff5-5b2d-41e0-9fd7-db4fc09c0a4f,9ff00e7c-218e-44e3-92bd-7900500bd356,3699.83,608,2025-07-04,completed
275f433e-0498-41ce-8d6f-ad2b642980b4,015b5dbd-68d7-4a96-ab61-c68068fb124a,200c8181-f44d-4a86-b17a-ec741fe7e0b1,735.35,978,2025-07-04,completed
5253df71-b370-4a01-91b1-69acada90474,1e1cf90d-efd8-4dc6-accd-be03ab27c5c3,c487ca3a-0334-40e4-8a00-61fa529142fc,5728.33,840,2025-07-04,pending
de2ed5c7-dbd9-417e-a778-f7d9ded2bac1,46262ec5-3785-4148-b23a-721d2e78a9cc,04cf1e2e-1419-4302-a690-e89302ae3d42,9721.49,840,2025-07-04,pending
15af094f-301b-4945-80b0-b552e76c3b13,473e10a1-5c6e-4cc8-ab75-d8dcef755e10,46262ec5-3785-4148-b23a-721d2e78a9cc,4068.00,986,2025-07-04,completed
2622c1a7-7f84-4c11-87cc-52e5c9f6497f,473e10a1-5c6e-4cc8-ab75-d8dcef755e10,46262ec5-3785-4148-b23a-721d2e78a9cc,9879.31,344,2025-07-04,completed
19a5569d-f1d0-4ea9-8f27-41767d905276,a9e7bfd9-1858-4020-98e5-698b8c67c6ed,e11e33ce-f297-4468-bfca-7d4080ccca46,6181.98,978,2025-07-04,pending
1b6b947a-b2ef-4ee6-b40a-d2536d5fc066,04cf1e2e-1419-4302-a690-e89302ae3d42,9eb7ebc6-4e64-41e1-8fc6-f96baef961d5,8306.76,344,2025-07-04,completed
f82685d0-06c9-4ccb-9587-dfdb23713979,2c3fdbdc-9e06-41f8-b3b4-9a3a87620f6c,f36617fb-4d70-4896-9921-8061ee87db72,9439.04,978,2025-07-04,completed
df8a5a1a-5c7b-4c21-bb67-cb586ec5ca1d,e11e33ce-f297-4468-bfca-7d4080ccca46,8b1ccf89-3c34-4704-a380-bda5a2e4a79f,8134.91,978,2025-07-04,completed
b9dd74d6-ce6f-489f-86d4-ea54627b0117,015b5dbd-68d7-4a96-ab61-c68068fb124a,2daef0f4-9eae-4bf8-b38a-681e5478d3a7,7097.09,978,2025-07-04,pending
4de4305f-33bf-4e33-893b-d67e4e1ecdbf,1e1cf90d-efd8-4dc6-accd-be03ab27c5c3,86cda25c-ba84-49fc-a47f-c4fdf99d8935,5585.06,986,2025-07-04,pending
c3b3e4eb-ae01-4101-826c-362dd6817362,7bf36635-f663-4994-9315-894cd368b580,9eb7ebc6-4e64-41e1-8fc6-f96baef961d5,7714.00,608,2025-07-04,pending
5d6cea40-5445-4b49-9218-a24625b75b52,2c3fdbdc-9e06-41f8-b3b4-9a3a87620f6c,7f8f062a-1213-4529-a1c5-04fe3faf1485,1650.46,986,2025-07-04,pending
2727d667-6709-4765-b81d-82bc330528fb,2daef0f4-9eae-4bf8-b38a-681e5478d3a7,535c41d5-ac8c-4dbd-b4cb-d2bfbdcc1a04,5308.16,986,2025-07-04,pending
